AirportCode,City,Country,Names,UtcOffset,TimeZoneId,Latitude,Longitude
AAE,AAE,DZ,Annaba,+01:00,Africa/Algiers,36.8222,7.8092
AAL,AAL,DK,Aalborg,+01:00,Europe/Copenhagen,57.0928,9.8492
AAQ,AAQ,RU,Anapa,+03:00,Europe/Moscow,45.0022,37.3472
AAR,AAR,DK,Aarhus,+01:00,Europe/Copenhagen,56.3039,10.6194
ABE,ABE,US,Allentown/Bethlehem,-05:00,America/New_York,40.6522,-75.4408
ABI,ABI,US,Abilene/Regional Airport,-06:00,America/Chicago,32.4114,-99.6819
ABJ,ABJ,CI,Abidjan,+00:00,Africa/Abidjan,5.2614,-3.9264
ABK,ABK,ET,Kabri Dar,+03:00,Africa/Addis_Ababa,6.7339,44.2553
ABQ,ABQ,US,Albuquerque,-07:00,America/Denver,35.0406,-106.6094
ABS,ABS,EG,Abu Simbel,+02:00,Africa/Cairo,22.3758,31.6117
ABV,ABV,NG,Abuja,+01:00,Africa/Lagos,9.0067,7.2631
ABY,ABY,US,Albany (US),-05:00,America/New_York,31.5356,-84.1944
ABZ,ABZ,GB,Aberdeen,+00:00,Europe/London,57.2042,-2.2003
ACA,ACA,MX,Acapulco,-06:00,America/Mexico_City,16.7569,-99.7539
ACC,ACC,GH,Accra,+00:00,Africa/Accra,5.6053,-0.1667
ACE,ACE,ES,Лансароте,+00:00,Atlantic/Canary,28.9456,-13.6053
ACT,ACT,US,Waco,-06:00,America/Chicago,31.6114,-97.2306
ACV,ACV,US,Arcata/Eureka,-08:00,America/Los_Angeles,40.9781,-124.1086
ADA,ADA,TR,Adana,+03:00,Europe/Istanbul,36.9822,35.2803
ADB,IZM,TR,Izmir,+03:00,Europe/Istanbul,38.2925,27.1569
ADD,ADD,ET,Addis Ababa,+03:00,Africa/Addis_Ababa,8.9778,38.7994
ADF,ADF,TR,Αντιγιαμάν,+03:00,Europe/Istanbul,37.7314,38.4689
ADL,ADL,AU,Adelaide,+09:30,Australia/Adelaide,-34.945,138.5306
ADZ,ADZ,CO,San Andres Island,-05:00,America/Bogota,12.5836,-81.7111
AEP,BUE,AR,Buenos Aires Aeroparque J. N.,-03:00,America/Argentina/Buenos_Aires,-34.5589,-58.4164
AER,AER,RU,Сочи,+03:00,Europe/Moscow,43.45,39.9567
AES,AES,NO,Aalesund,+01:00,Europe/Oslo,62.5603,6.1103
AEX,AEX,US,Alexandria,-06:00,America/Chicago,31.3275,-92.5497
AEY,AEY,IS,Akureyri,+00:00,Atlantic/Reykjavik,65.6586,-18.0722
AGA,AGA,MA,Агадир,+01:00,Africa/Casablanca,30.325,-9.4131
AGH,AGH,SE,Helsingborg - Angelholm,+01:00,Europe/Stockholm,56.2961,12.8472
AGP,AGP,ES,Малага,+01:00,Europe/Madrid,36.675,-4.4992
AGR,AGR,IN,Agra,+05:30,Asia/Kolkata,27.1558,77.9608
AGU,AGU,MX,Aguascalientes,-06:00,America/Mexico_City,21.7056,-102.3178
AGX,AGX,IN,Agatti Island,+05:30,Asia/Kolkata,10.8236,72.1761
AGY,MUC,DE,Augsburg Hbf,+01:00,Europe/Berlin,48.3656,10.8864
AHB,AHB,SA,Abha,+03:00,Asia/Riyadh,18.2403,42.6567
AJI,AJI,TR,Άγκρι,+03:00,Europe/Istanbul,39.6539,43.0264
AJL,AJL,IN,Aizawl,+05:30,Asia/Kolkata,23.8389,92.6203
