AirlineID,AirlineID_ICAO,Names
0A,GNT,Amber Air
0B,BMS,Blue Air
0D,DWT,Darwin Airline Sa
0J,PJZ,Premium Jet Ag
0K,KRT,Aircompany Kokshetau
0P,PPC,Palau Asia Pacific Air Inc.
0S,SEJ,Spicejet
0V,VFC,Vasco
0W,WCR,West Caribbean Costa Rica S.A.
1A,AGT,Amadeus Global Travel Distribution S.A.
1I,EJA,Netjets
1L,OSY,Open Skies Consultative Commission (Oscc)
1P,WSP,Worldspan (Atlanta_ Ga)
1S,SBG,Sabre_ Inc. (Southlake_ Tx)
1X,,Branson Airexpress
2A,,Deutsche Bahn AG
2B,AWT,Albawings
2C,,Sncf
2D,DYA,Dynamic International Airways
2E,,Smokey Bay Air
2F,FAV,Fair Aviation
2G,AGU,Angara Airlines
2I,SRU,Star Peru
2J,VBW,Air Burkina
2K,GLG,Avianca Ecuador
2L,OAW,Helvetic Airways
2M,MYD,Maya Island Air
2N,NTJ,Nextjet
2O,,Island Air Service
2P,GAP,Pal Express
2Q,SNC,Air Cargo Carriers
2R,,Via Rail Canada
2S,,Air Carnival
2T,TUX,Tulpar Air Service
2U,,Sun Dor International Airlines
2V,,Amtrak
2W,,Multiple Solutions
2Y,MYU,My Indo Airlines
2Z,PTB,Passaredo Transportes Aereos
3A,,Chu Kong Passenger Transport Co Ltd.
3B,NTB,Binter Cabo Verde
3C,CVA,Air Chathams
3D,DNM,Denim Air
3E,WBR,Air Choice One
3F,,Pacific Airways Inc
3G,CXM,Asia Cargo Express
3H,AIE,Air Inuit
3J,JBW,Jubba Airways
3K,JSA,Jetstar Asia
3L,ISK,Intersky Luftfahrt Gmbh
3M,SIL,Silver Airways
3N,URG,Air Urga
3O,MAC,Air Arabia Maroc
3P,,Air Philip
3Q,,Kc International Airlines
3R,RGR,Avior Regional
3S,GUY,Air Guyane Express
3T,TRQ,Tarco Air
3U,CSC,Sichuan Airlines
3V,TAY,Asl Airlines Belgium
3W,MWI,Malawian Airlines
3X,,Premier Trans Aire
3Y,,Baseops International Inc.
3Z,TVP,Travel Service Poland
4A,DYN,Aerodynamics
4B,TUP,Aviastar-Tu
4C,ARE,Latam Airlines Colombia
4D,,Air Sinai
4E,,Stabo Air
4F,ECE,Air-City
4G,GZP,Gazpromavia
4H,LBW,Albatros Airways
4I,IZM,Izair
4J,NWZ,Nationwide Airlines (Zambia) Limited
4K,KBA,Kenn Borek Air
4L,LAU,Lineas Aereas Suramericanas
4M,DSM,Latam Airlines Argentina
4N,ANT,Air North
4O,AIJ,Interjet
4P,,Regional Sky
4Q,SFW,Safi Airways
4R,,Renfe Viajeros
4S,OLC,Solar Cargo
4T,BHP,Belair Airlines Ag
4U,GWI,Germanwings
4V,BVI,Bvi Airways
4W,WAV,Warbelows Air Ventures
4X,,Mercury World Cargo
4Y,BGA,Airbus Transport International
4Y,BGA,Airbus Transport International
4Y,OCN,Eurowings Discover
4Y,BGA,Airbus Transport International
4Y,BGA,Airbus Transport International
4Z,LNK,Airlink
5A,AIP,Alpine Air
5B,BSX,Bassaka Air
5C,NRR,Nature Air
5D,SLI,Aeromexico Connect
5E,JTM,East Coast Flight Services Inc
5F,FIA,Flyone
5G,CUO,Aerocuahonte
5H,FFV,Fly540
