airline,flightNumber,arrivalTime,TimeVariation,departureTime,aircraftOwner,aircraftType,destination,origin,startDate,endDate
LH,1,05:10,02:00,04:00,LH,32N,FRA,HAM,22JUN23,01JUL23
LH,1,05:25,02:00,04:15,LH,32N,FRA,HAM,25JUN23,25JUN23
LH,1,05:10,02:00,04:00,LH,321,FRA,HAM,27JUN23,27JUN23
LH,1,05:25,02:00,04:15,LH,320,FRA,HAM,02JUL23,09JUL23
LH,1,05:10,02:00,04:00,LH,32A,FRA,HAM,03JUL23,08JUL23
LH,1,05:10,02:00,04:00,LH,320,FRA,HAM,07JUL23,07JUL23
LH,1,05:10,02:00,04:00,LH,32A,FRA,HAM,10JUL23,10JUL23
LH,1,05:10,02:00,04:00,LH,320,FRA,HAM,11JUL23,11JUL23
LH,1,05:10,02:00,04:00,LH,321,FRA,HAM,13JUL23,14JUL23
LH,1,05:25,02:00,04:15,LH,321,FRA,HAM,16JUL23,16JUL23
LH,1,05:10,02:00,04:00,LH,321,FRA,HAM,17JUL23,17JUL23
LH,1,05:10,02:00,04:00,LH,32A,FRA,HAM,18JUL23,19JUL23
LH,1,05:10,02:00,04:00,LH,321,FRA,HAM,21JUL23,21JUL23
LH,1,05:10,02:00,04:00,LH,32A,FRA,HAM,22JUL23,22JUL23
LH,2,05:40,02:00,04:30,LH,321,HAM,FRA,21JUN23,21JUN23
LH,2,05:40,02:00,04:30,LH,319,HAM,FRA,24JUN23,30JUN23
LH,2,05:40,02:00,04:30,LH,32A,HAM,FRA,25JUN23,29JUN23
LH,2,05:40,02:00,04:30,LH,320,HAM,FRA,01JUL23,06JUL23
LH,2,05:40,02:00,04:30,LH,32A,HAM,FRA,03JUL23,09JUL23
LH,2,05:35,02:00,04:30,LH,32Q,HAM,FRA,04JUL23,04JUL23
LH,2,05:40,02:00,04:30,LH,319,HAM,FRA,08JUL23,08JUL23
LH,2,05:40,02:00,04:30,LH,320,HAM,FRA,10JUL23,11JUL23
LH,2,05:40,02:00,04:30,LH,32N,HAM,FRA,12JUL23,12JUL23
LH,2,05:40,02:00,04:30,LH,32Q,HAM,FRA,14JUL23,17JUL23
LH,2,05:40,02:00,04:30,LH,321,HAM,FRA,15JUL23,19JUL23
LH,2,05:40,02:00,04:30,LH,32A,HAM,FRA,18JUL23,18JUL23
LH,2,05:40,02:00,04:30,LH,320,HAM,FRA,20JUL23,20JUL23
LH,2,05:40,02:00,04:30,LH,319,HAM,FRA,21JUL23,21JUL23
LH,2,05:40,02:00,04:30,LH,320,HAM,FRA,22JUL23,22JUL23
