DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
FRA,2023-07-18,15:55,2023-07-18,16:34,DP,Flight Departed,OLB,2023-07-18,17:45,2023-07-18,18:29,LD,Flight Landed,CL,320,CR9,,
OLB,2023-07-18,18:30,2023-07-18,19:30,DP,Flight Departed,FRA,2023-07-18,20:25,2023-07-18,21:18,LD,Flight Landed,CL,321,CR9,,
FRA,2023-07-18,13:25,2023-07-18,13:47,DP,Flight Departed,EWR,2023-07-18,15:50,2023-07-18,15:59,LD,Flight Landed,LH,402,74H,,
EWR,2023-07-18,18:10,2023-07-18,18:17,DP,Flight Departed,FRA,2023-07-19,07:30,2023-07-19,07:18,OT,Flight On Time,LH,403,74H,,
MUC,2023-07-18,12:10,2023-07-18,12:33,DP,Flight Departed,BOS,2023-07-18,14:52,2023-07-18,15:18,LD,Flight Landed,LH,410,388,,
BOS,2023-07-18,15:50,2023-07-18,17:13,DP,Flight Departed,JFK,2023-07-18,17:00,2023-07-18,18:21,LD,Flight Landed,LH,410,388,,
JFK,2023-07-18,17:30,,,DL,Flight Delayed,MUC,2023-07-19,07:35,2023-07-19,09:24,DL,Flight Delayed,LH,411,388,,
MUC,2023-07-18,15:45,2023-07-18,16:08,DP,Flight Departed,EWR,2023-07-18,18:45,2023-07-18,19:01,LD,Flight Landed,LH,412,346,,
EWR,2023-07-18,20:30,2023-07-18,20:40,OT,Flight On Time,MUC,2023-07-19,10:20,2023-07-19,10:01,FE,Flight Early,LH,413,346,,
MUC,2023-07-18,16:20,2023-07-18,16:55,DP,Flight Departed,IAD,2023-07-18,19:40,2023-07-18,19:49,OT,Flight On Time,LH,414,346,UA,8785
IAD,2023-07-18,22:20,2023-07-18,22:20,OT,Flight On Time,MUC,2023-07-19,12:45,2023-07-19,12:45,OT,Flight On Time,LH,415,346,UA,8784
BOS,2023-07-18,20:05,,,NO,No Status,MUC,2023-07-19,09:15,,,NO,No Status,LH,425,388,,
MUC,2023-07-18,12:30,2023-07-18,13:13,DP,Flight Departed,CLT,2023-07-18,16:25,2023-07-18,17:04,LD,Flight Landed,LH,428,346,,
CLT,2023-07-18,18:30,2023-07-18,19:34,DP,Flight Departed,MUC,2023-07-19,09:15,2023-07-19,09:30,OT,Flight On Time,LH,429,346,,
FRA,2023-07-18,10:00,2023-07-18,10:35,DP,Flight Departed,IAH,2023-07-18,13:35,2023-07-18,14:00,LD,Flight Landed,LH,440,74H,,
IAH,2023-07-18,15:45,2023-07-18,16:17,DP,Flight Departed,FRA,2023-07-19,08:15,2023-07-19,08:19,OT,Flight On Time,LH,441,74H,,
FRA,2023-07-18,10:40,2023-07-18,10:54,DP,Flight Departed,DTW,2023-07-18,13:25,2023-07-18,13:37,LD,Flight Landed,LH,442,78S,UA,9196
DTW,2023-07-18,15:45,2023-07-18,15:47,DP,Flight Departed,FRA,2023-07-19,05:35,2023-07-19,05:12,FE,Flight Early,LH,443,78S,UA,9197
FRA,2023-07-18,10:15,2023-07-18,10:44,DP,Flight Departed,ATL,2023-07-18,14:15,2023-07-18,14:37,LD,Flight Landed,4Y,444,333,,
ATL,2023-07-18,16:10,2023-07-18,16:29,DP,Flight Departed,FRA,2023-07-19,07:05,2023-07-19,07:05,OT,Flight On Time,4Y,445,333,,
FRA,2023-07-18,13:15,2023-07-18,13:27,DP,Flight Departed,DEN,2023-07-18,15:40,2023-07-18,15:38,LD,Flight Landed,LH,446,78S,UA,8878
DEN,2023-07-18,17:35,2023-07-18,17:35,OT,Flight On Time,FRA,2023-07-19,11:10,2023-07-19,11:10,OT,Flight On Time,LH,447,78S,UA,8879
MUC,2023-07-18,12:20,2023-07-18,12:33,DP,Flight Departed,LAX,2023-07-18,15:20,2023-07-18,15:23,LD,Flight Landed,LH,452,359,,
LAX,2023-07-18,17:10,2023-07-18,17:10,OT,Flight On Time,MUC,2023-07-19,13:15,2023-07-19,13:15,OT,Flight On Time,LH,453,359,,
FRA,2023-07-18,10:25,2023-07-18,10:45,DP,Flight Departed,SFO,2023-07-18,12:40,2023-07-18,12:51,LD,Flight Landed,LH,454,74H,,
SFO,2023-07-18,14:40,2023-07-18,14:58,DP,Flight Departed,FRA,2023-07-19,10:25,2023-07-19,10:19,OT,Flight On Time,LH,455,74H,,
MUC,2023-07-18,16:20,2023-07-18,16:44,DP,Flight Departed,SFO,2023-07-18,19:00,2023-07-18,18:57,OT,Flight On Time,LH,458,359,,
SFO,2023-07-18,20:50,2023-07-18,20:50,OT,Flight On Time,MUC,2023-07-19,16:45,2023-07-19,16:45,OT,Flight On Time,LH,459,359,,
FRA,2023-07-18,10:50,2023-07-18,11:28,DP,Flight Departed,MIA,2023-07-18,14:40,2023-07-18,15:02,LD,Flight Landed,LH,462,74H,,
MIA,2023-07-18,16:45,2023-07-18,17:09,DP,Flight Departed,FRA,2023-07-19,07:50,2023-07-19,07:56,OT,Flight On Time,LH,463,74H,,
MUC,2023-07-18,12:35,2023-07-18,12:38,DP,Flight Departed,SAN,2023-07-18,15:25,2023-07-18,15:25,LD,Flight Landed,LH,466,359,UA,8918
SAN,2023-07-18,17:15,2023-07-18,17:15,OT,Flight On Time,MUC,2023-07-19,13:20,2023-07-19,13:20,OT,Flight On Time,LH,467,359,UA,8932
FRA,2023-07-18,10:05,2023-07-18,10:24,DP,Flight Departed,AUS,2023-07-18,13:55,2023-07-18,14:13,LD,Flight Landed,LH,468,78S,UA,8765
AUS,2023-07-18,16:00,2023-07-18,16:22,DP,Flight Departed,FRA,2023-07-19,08:45,2023-07-19,08:52,OT,Flight On Time,LH,469,78S,UA,8822
FRA,2023-07-18,13:55,2023-07-18,14:51,DP,Flight Departed,YYZ,2023-07-18,16:20,2023-07-18,17:15,LD,Flight Landed,LH,470,744,AC,9105
YYZ,2023-07-18,18:20,2023-07-18,19:19,DP,Flight Departed,FRA,2023-07-19,07:50,2023-07-19,08:34,DL,Flight Delayed,LH,471,744,AC,9104
MUC,2023-07-18,16:50,2023-07-18,17:09,DP,Flight Departed,YUL,2023-07-18,19:00,2023-07-18,19:11,LD,Flight Landed,LH,474,35S,AC,9099
YUL,2023-07-18,20:50,2023-07-18,20:50,OT,Flight On Time,MUC,2023-07-19,10:10,2023-07-19,10:10,OT,Flight On Time,LH,475,35S,AC,9098
MUC,2023-07-18,15:30,2023-07-18,16:04,DP,Flight Departed,YVR,2023-07-18,16:45,2023-07-18,16:43,OT,Flight On Time,LH,476,35S,AC,9433
