DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
HAJ,2023-07-06,10:45,2023-07-06,10:52,DP,Flight Departed,CGN,2023-07-06,11:48,2023-07-06,11:55,LD,Flight Landed,LH,053,320,,
FRA,2023-07-06,06:50,2023-07-06,07:05,DP,Flight Departed,CTA,2023-07-06,09:10,2023-07-06,09:26,LD,Flight Landed,LH,306,32A,NH,5875
CTA,2023-07-06,10:10,2023-07-06,10:14,DP,Flight Departed,FRA,2023-07-06,12:50,2023-07-06,12:49,LD,Flight Landed,LH,307,32A,,
FRA,2023-07-06,16:05,2023-07-06,16:41,DP,Flight Departed,OLB,2023-07-06,17:55,2023-07-06,18:26,LD,Flight Landed,CL,320,CR9,,
OLB,2023-07-06,18:35,2023-07-06,19:36,DP,Flight Departed,FRA,2023-07-06,20:30,2023-07-06,21:15,LD,Flight Landed,CL,321,CR9,,
FRA,2023-07-06,08:25,2023-07-06,08:33,DP,Flight Departed,PMO,2023-07-06,10:40,2023-07-06,10:39,LD,Flight Landed,LH,338,320,,
PMO,2023-07-06,11:30,2023-07-06,11:27,DP,Flight Departed,FRA,2023-07-06,14:00,2023-07-06,13:42,LD,Flight Landed,LH,339,320,,
FRA,2023-07-06,15:55,2023-07-06,16:17,DP,Flight Departed,CAG,2023-07-06,17:50,2023-07-06,18:10,LD,Flight Landed,LH,340,32A,AC,9680
CAG,2023-07-06,18:40,2023-07-06,19:02,DP,Flight Departed,FRA,2023-07-06,20:50,2023-07-06,21:02,LD,Flight Landed,LH,341,32A,,
FRA,2023-07-06,13:25,2023-07-06,13:53,DP,Flight Departed,EWR,2023-07-06,15:50,2023-07-06,15:47,LD,Flight Landed,LH,402,74H,,
EWR,2023-07-06,18:10,2023-07-06,18:14,DP,Flight Departed,FRA,2023-07-07,07:30,2023-07-07,08:00,DL,Flight Delayed,LH,403,74H,,
MUC,2023-07-06,12:10,2023-07-06,12:38,DP,Flight Departed,JFK,2023-07-06,15:00,2023-07-06,15:17,LD,Flight Landed,LH,410,388,,
JFK,2023-07-06,17:30,2023-07-06,17:33,DP,Flight Departed,MUC,2023-07-07,07:35,2023-07-07,07:28,OT,Flight On Time,LH,411,388,,
